id,name,model,price,review,mileage,year,fuel_type,transmission,color,location,is_featured,image_urls,rating
td3I7AuoOXq6Rj5,Subaru SVX,Sedan,$751,Evening for scientist each.,86986,2017,Gasoline,Manual,HoneyDew,"West Sheryl, IL",True,https://images.pexels.com/photos/989104/pexels-photo-6537271.jpeg|https://images.pexels.com/photos/692770/pexels-photo-8409559.jpeg|https://images.pexels.com/photos/597957/pexels-photo-4950798.jpeg,4.7
ZVVcvoWmVqqv8Iw,Hyundai Tiburon,SUV,$573,Close politics college painting.,33129,2008,Electric,Manual,WhiteSmoke,"Sullivanside, DE",False,https://images.pexels.com/photos/921397/pexels-photo-6752185.jpeg|https://images.pexels.com/photos/375137/pexels-photo-7926182.jpeg|https://images.pexels.com/photos/738328/pexels-photo-1937904.jpeg,3.1
YjSL2Pyu4qT1aKs,Hyundai Santa Cruz,Truck,$924,Big single imagine throughout throughout speak listen.,66444,2023,Electric,Manual,DarkViolet,"South Gregshire, MO",False,https://images.pexels.com/photos/265036/pexels-photo-5237859.jpeg,3.3
3TrpkoovBVI1pva,Kia Sephia,SUV,$733,Thought later economic.,40789,2020,Electric,Automatic,Peru,"North Peter, AL",False,https://images.pexels.com/photos/410875/pexels-photo-2275718.jpeg|https://images.pexels.com/photos/499291/pexels-photo-4671853.jpeg|https://images.pexels.com/photos/570177/pexels-photo-4340014.jpeg,4.3
f0qq2FS8ZovbzzJ,Kia Cadenza,Sedan,$557,Challenge control always wide suddenly himself.,45035,2000,Electric,Manual,LightSkyBlue,"Port Josephport, NE",True,https://images.pexels.com/photos/569750/pexels-photo-5592628.jpeg|https://images.pexels.com/photos/395980/pexels-photo-3018572.jpeg,4.2
dummoZioAFVduQ0,Ford Probe,Sedan,$833,Itself article her spend light accept court notice.,87853,2008,Gasoline,Manual,LightSteelBlue,"South Randy, SC",False,https://images.pexels.com/photos/425765/pexels-photo-9956485.jpeg|https://images.pexels.com/photos/42481/pexels-photo-4397870.jpeg|https://images.pexels.com/photos/860844/pexels-photo-5584089.jpeg,3.1
7bcotSpZgwnf3c4,Honda Prelude,Sedan,$438,Key thank present brother letter community.,69709,2004,Gasoline,Automatic,Teal,"Pachecochester, AL",False,https://images.pexels.com/photos/489723/pexels-photo-5442878.jpeg|https://images.pexels.com/photos/860219/pexels-photo-2919496.jpeg|https://images.pexels.com/photos/179406/pexels-photo-1936435.jpeg,4.1
tKtrEJ5oRQ1fazH,Toyota C-HR,Sedan,$489,Realize mouth others around.,45841,2002,Diesel,Manual,IndianRed,"Stephenmouth, KS",False,https://images.pexels.com/photos/534870/pexels-photo-6068900.jpeg|https://images.pexels.com/photos/838269/pexels-photo-5779500.jpeg|https://images.pexels.com/photos/340312/pexels-photo-3378111.jpeg,3.3
t3UasQ5RNujWdLT,Lexus GS,SUV,$674,Parent type tonight likely wear avoid.,16444,2019,Diesel,Manual,RoyalBlue,"East Michaelland, ME",True,https://images.pexels.com/photos/249804/pexels-photo-8231688.jpeg,4.8
Pl9g9HMaoSHpJaV,Kia Borrego,Truck,$523,Involve program thus travel listen.,26279,2012,Electric,Automatic,WhiteSmoke,"Mooreborough, AR",True,https://images.pexels.com/photos/302319/pexels-photo-8835484.jpeg|https://images.pexels.com/photos/622507/pexels-photo-9752621.jpeg|https://images.pexels.com/photos/874696/pexels-photo-8565439.jpeg,3.4
